claim,count
Governments and technology companies must do more to protect online privacy and security.,69
Cultured/lab-grown meats should be allowed to be sold,69
Social media companies should be required to label AI-generated content,69
Employers should be allowed to monitor employees through tracking mechanisms.,69
Requiring all police officers to wear body cameras should not be mandated,69
Self-driving cars will increase safety and should replace human drivers.,69
Drug importation jeopardizes safety controls and the domestic pharma industry.,69
College athletes should not be paid salaries,69
The US should ban all cultured or lab-grown meat products,69
Genetic engineering of unborn babies should be allowed to eliminate disease.,69
The minimum wage should be raised to $15 per hour nationwide.,69
Social media platforms should not censor any legal speech.,69
Internet access should not be considered a basic human right,69
Recreational drone pilots should not require registration and testing,69
Emotional companion AI poses risks of attachment and should be limited,69
Self-driving cars will not be safe enough to fully replace human drivers.,69
Space tourism should be limited until safety regulations are further developed,69
Tenure for university professors should be reformed or eliminated,69
Employee tracking infringes on privacy rights and should face restrictions.,69
Lifespan extension would exacerbate inequities and should not be pursued,69
Internet access should be considered a basic human right,69
Recreational drone pilots should be registered and tested,69
No limits should be placed on acceptable human risk for initial Mars colonization missions,69
Space tourism should be allowed without initial limits on safety regulations,69
Prescription drug ads should be allowed on television,69
All police officers should be required to wear body cameras,69
Social media platforms should not be liable for harmful content posted by users,69
Smartphones/social media should not be banned for kids under 16,69
Limits should be placed on acceptable human risk levels for initial Mars colonization missions,69
Banning gas car sales too soon is unrealistic,69
College athletes should be paid salaries,69
It is fair for insurers and lenders to use credit scores and risk models.,69
Social media companies should not be required to label AI-generated content,69
Charter schools increase options and drive education innovation.,69
Charter schools divert public funds away from traditional public schools.,69
Geoengineering poses too many risks and should not be considered.,69
Social media platforms should be liable for harmful content posted by users,69
University professor tenure should remain as is,69
People receiving welfare benefits should be tracked to prevent fraud/abuse.,78
Social media should verify user identities,69
Virtual emotional companion AI should be allowed and unrestricted,69
Climate geoengineering research should be pursued as a potential solution.,69
Social media platforms have a duty to moderate harmful content.,69
Tracking welfare recipients violates privacy and harms vulnerable populations.,78
Gas car sales should be banned after a set phase-out date,69
Social media should not be required to verify user identities,69
Corporations should be required to disclose their climate impacts,69
Raising the minimum wage to $15 would hurt small businesses and jobs.,69
Individuals must take responsibility for online privacy without excessive government mandates.,69
Smartphones/social media should be banned for kids under 16,69
Genetic modification of unborn babies is unethical and dangerous.,69
Prescription drug importation should be allowed to increase access and lower costs.,69
Anti-aging therapies should be made available even if expensive,69
Basing decisions on credit scores and models is discriminatory.,69
Prescription drug ads should not be allowed on television,69
Corporations should not be required to disclose their climate impacts,69
The heart pumps blood to provide oxygen to the body.,3
Apples are a type of fruit.,3
Water is a liquid at room temperature.,3
The largest country in the world by land area is Russia.,3
The Great Wall of China was constructed within the modern-day borders of the nation of China.,3
Dogs are mammals.,3
"When sufficiently heated, ice melts into liquid water.",3
"By its very definition in the metric system, one meter consists of 100 centimeters.",3
A circle has 360 degrees.,3
Humans need oxygen to breathe.,3
Ice is a solid state of water.,3
Penguins of all existing species are biologically incapable of self-powered flight.,3
A triangle has three sides.,3
DNA carries genetic information in living organisms.,3
The currency of the United Kingdom is the British pound.,3
"By definition, one liter in the metric system equals 1,000 milliliters.",3
Gravity causes objects to fall towards the earth.,3
Water transitions from a liquid to solid state at 32 degrees Fahrenheit (0 degrees Celsius) under a standard atmosphere of pressure.,3
The capital city of the nation of France located in Europe is Paris.,3
